BowlingTeam,BattingTeam,Innings,Over,Bowler,Batter,Event,Over_Num,Phase,IsDot,IsExtra,EstimatedRuns,MatchDate,Venue
Nepal,Scotland,1,13.1,Kushal Malla,Tomas Mackintosh,1 run,13,Middle,False,False,1,2023-02-17,Kirtipur
Nepal,Scotland,1,13.2,Kushal Malla,Matthew Cross,1 run,13,Middle,False,False,1,2023-02-17,Kirtipur
Nepal,Scotland,1,13.3,Kushal Malla,Tomas Mackintosh,no run,13,Middle,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,13.4,Kushal Malla,Tomas Mackintosh,1 run,13,Middle,False,False,1,2023-02-17,Kirtipur
Nepal,Scotland,1,13.5,Kushal Malla,Matthew Cross,no run,13,Middle,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,13.6,Kushal Malla,Matthew Cross,no run,13,Middle,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,14.1,Sandeep Lamichhane,Tomas Mackintosh,no run,14,Middle,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,14.2,Sandeep Lamichhane,Tomas Mackintosh,no run,14,Middle,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,14.3,Sandeep Lamichhane,Tomas Mackintosh,1 run,14,Middle,False,False,1,2023-02-17,Kirtipur
Nepal,Scotland,1,14.4,Sandeep Lamichhane,Matthew Cross,no run,14,Middle,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,14.5,Sandeep Lamichhane,Matthew Cross,OUT,14,Middle,False,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,14.6,Sandeep Lamichhane,Brandon McMullen,no run,14,Middle,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,15.1,Kushal Malla,Tomas Mackintosh,2 runs,15,Middle,False,False,2,2023-02-17,Kirtipur
Nepal,Scotland,1,15.2,Kushal Malla,Tomas Mackintosh,no run,15,Middle,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,15.3,Kushal Malla,Tomas Mackintosh,1 run,15,Middle,False,False,1,2023-02-17,Kirtipur
Nepal,Scotland,1,15.4,Kushal Malla,Brandon McMullen,1 run,15,Middle,False,False,1,2023-02-17,Kirtipur
